Time,Open,High,Low,Latest,Change,%Change,Volume,Open Int
2/11/2015,1233.24,1238.51,1216.76,1218.36,-14.84,-1.20%,125162,389685
2/12/2015,1217.95,1232.22,1217.43,1221.55,3.19,0.26%,122082,386721
2/13/2015,1221.53,1234.56,1221.5,1229.25,7.7,0.63%,102405,384240
2/17/2015,1230.64,1233.76,1203.7,1209.37,-19.88,-1.62%,188745,389530
2/18/2015,1209.32,1212.7,1197.84,1212.35,2.98,0.25%,130285,391032
2/19/2015,1211.77,1222.71,1205.39,1206.63,-5.72,-0.47%,124572,394414
2/20/2015,1206.6,1214.73,1198.26,1201.34,-5.29,-0.44%,114882,394062
2/23/2015,1201.44,1209.99,1191.14,1201.47,0.13,0.01%,123756,398568
2/24/2015,1201.37,1204.29,1190.69,1200.18,-1.29,-0.11%,127547,399307
2/25/2015,1200.18,1211.66,1200.01,1204.52,4.34,0.36%,116407,396876
2/26/2015,1204.5,1219.76,1203.5,1209.2,4.68,0.39%,151096,396927
2/27/2015,1209.23,1219.04,1204.47,1212.87,3.67,0.30%,122057,401689
3/2/2015,1212.94,1223.1,1204.56,1206.78,-6.09,-0.50%,146926,405027
3/3/2015,1206.83,1214.36,1195.36,1203.45,-3.33,-0.28%,173589,405124
3/4/2015,1203.42,1208.84,1198.21,1200.06,-3.39,-0.28%,117124,403134
3/5/2015,1200.08,1208.95,1196.46,1198.12,-1.94,-0.16%,158834,406719
3/6/2015,1198.21,1200.47,1163.7,1164.52,-33.6,-2.80%,238609,415370
3/9/2015,1166.84,1175.15,1165.74,1166.84,2.32,0.20%,147442,413701
3/10/2015,1166.8,1170.29,1155.42,1161.42,-5.42,-0.46%,219344,410918
3/11/2015,1160.82,1165.04,1147.46,1154.78,-6.64,-0.57%,197555,417636
3/12/2015,1154.83,1166.01,1148.76,1153.15,-1.63,-0.14%,198848,424435
3/13/2015,1152.69,1161.53,1151.47,1158.77,5.62,0.49%,141037,424231
