Time,Open,High,Low,Latest,Change,%Change,Volume,Open Int
7/14/2011,2358.89,2370.72,2318.2,2325.06,-27.37,-1.16%,344207,368466
7/15/2011,2351.81,2357.36,2336.13,2356.67,31.61,1.36%,254910,364599
7/18/2011,2346.53,2354.56,2322.62,2344.01,-12.66,-0.54%,249438,346200
7/19/2011,2367.81,2400.58,2367.81,2398.17,54.16,2.31%,275669,363827
7/20/2011,2411.71,2412.39,2384.5,2387.8,-10.37,-0.43%,253907,346280
7/21/2011,2389.56,2417.13,2377.82,2404.24,16.44,0.69%,281585,354171
7/22/2011,2403.2,2432.84,2402.06,2429.5,25.26,1.05%,186813,358126
7/25/2011,2408.65,2437.42,2406.17,2424.15,-5.35,-0.22%,195381,362459
7/26/2011,2423.16,2438.44,2418.52,2429.45,5.3,0.22%,185385,364339
7/27/2011,2414.36,2416.22,2362.12,2367.16,-62.29,-2.56%,328674,356209
7/28/2011,2367.44,2401.25,2359.87,2371.77,4.61,0.19%,287265,363296
7/29/2011,2349.3,2388.24,2341.82,2362.81,-8.96,-0.38%,335951,372736
8/1/2011,2348.59,2357.39,2325.17,2354.05,-8.76,-0.37%,356989,354139
8/2/2011,2340.73,2352.48,2291.37,2292.85,-61.2,-2.60%,341031,353814
8/3/2011,2294.94,2316.73,2254.91,2312.78,19.93,0.87%,449037,341792
8/4/2011,2275.3,2284.3,2207.05,2207.2,-105.58,-4.57%,537054,332119
8/5/2011,2227.49,2240.68,2131.52,2194.38,-12.82,-0.58%,684328,315879
8/8/2011,2127.87,2162.78,2060.29,2060.29,-134.09,-6.11%,732240,332876
8/9/2011,2095.99,2161.75,2034.92,2160.79,100.5,4.88%,716686,329768
8/10/2011,2110.14,2142.31,2070.24,2073.09,-87.7,-4.06%,543674,332217
8/11/2011,2108.92,2187.48,2091.91,2167.07,93.98,4.53%,421657,336720
8/12/2011,2176.54,2195.25,2154.86,2182.05,14.98,0.69%,292451,339249
8/15/2011,2189.49,2214.12,2180.86,2214.12,32.07,1.47%,224454,345316
8/16/2011,2190.14,2211.9,2165.04,2194.27,-19.85,-0.90%,295168,342998
8/17/2011,2193.3,2214.26,2158.95,2181.62,-12.65,-0.58%,273802,344058
8/18/2011,2116.79,2118.61,2055.18,2073.03,-108.59,-4.98%,444722,347980
